"district_nces_code","district_name","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
"3409030","Lower Alloways Creek School District","Wilmington, DE","Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,3,3,0,193
"3904871","New Lebanon Local School District","Dayton, OH","Dayton, OH","Dayton, OH",0,0,5.5,6,0,793
"1500030","Hawaii Department of Education","Honolulu, HI","Urban Honolulu, HI","Urban Honolulu, HI",29,0.245762711864407,6.01,10,0.23788052971827,66979
"4013890","Harrah School District","Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",0,0,6.5,7,0,581
"4109330","Oregon City School District 62","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",1,0.166666666666667,6.67,9,0.197028652281571,2827
"4225650","West Middlesex Area School District","Youngstown, OH","Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",0,0,7,8,0,497
"0642930","Winters Joint Unified School District","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",0,0,4,4,0,665
"1808310","Northwestern Con School Corporation","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",0,0,7,7,0,496
"1708550","Community Unit School District 300","Elgin, IL","Elgin, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,5.31,8,0,8441
"1727540","Mundelein Educational Service District 75 School District","Chicago, IL","Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI",0,0,6,6,0,517
"0600002","California School For the Blind (state Special Schl)","Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",0,0,1,1,0,60
"3624150","Ravena-Coeymans-Selkirk Central School District","Albany, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,0,7,8,0,879
"2930570","Union R-Xi School District","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",0,0,5,5,0,1722
"3404890","Evesham Township School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,0.142857142857143,7,9,0.135016835016835,2970
"4823820","Huffman Independent School District","Houston, TX","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",0,0,4.5,5,0,1000
"1806510","M S D Martinsville Schools","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",1,0.125,4.88,9,0.0932688077430708,2273
"0904920","West Hartford School District","Hartford, CT","Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",4,0.363636363636364,7.45,10,0.365125440597139,4823
"2509030","Norwell School District","Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0,6.5,7,0,992
"3904373","Centerville City","Dayton, OH","Dayton, OH","Dayton, OH",2,0.333333333333333,7.83,9,0.257155061939342,2341
"2504620","Easton School District","Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0,8,8,0,435
"3413740","Red Bank Borough Public School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,4,4,0,497
