district_name,state,schooldistrictunified,total_commuters,commute_Less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,agg_travel_time,agg_travel_time_m,agg_travel_time_f,commute_under_30,commute_greater_than_30,percent_under_30,mean_commute_time,total_population,percent_drive_alone
"Yosemite Unified School District in Raymond-Knowles, California",6,06002,421.0,27.0,2.0,38.0,3.0,34.0,24.0,93.0,11.0,52.0,106.0,15.0,16.0,15040.0,9095.0,5945.0,128.0,293.0,0.30403800475059384,35.72446555819477,1305.0,0.7306843267108167
"Twin Rivers Unified School District in Elverta, California",6,06003,1471.0,47.0,100.0,95.0,181.0,235.0,60.0,210.0,18.0,86.0,211.0,76.0,152.0,54080.0,29690.0,24390.0,718.0,753.0,0.48810333106730114,36.76410605030591,3342.0,0.8868046571798189
"Twin Rivers Unified School District in Robla, California",6,06004,7472.0,204.0,636.0,1282.0,886.0,1444.0,461.0,1058.0,150.0,215.0,381.0,414.0,341.0,200970.0,122420.0,78550.0,4913.0,2559.0,0.6575214132762313,26.896413276231264,19843.0,0.7952837522674268
"Scott Valley Unified School District in Forks of Salmon, California",6,06005,61.0,10.0,22.0,10.0,0.0,2.0,0.0,9.0,0.0,2.0,0.0,3.0,3.0,1170.0,780.0,390.0,44.0,17.0,0.7213114754098361,19.18032786885246,216.0,0.5
"Trinity Alps Unified School District in Burnt Ranch, California",6,06006,268.0,21.0,39.0,35.0,18.0,30.0,13.0,18.0,0.0,15.0,25.0,49.0,5.0,7820.0,4800.0,3020.0,156.0,112.0,0.582089552238806,29.17910447761194,825.0,0.7766666666666666
"Trinity Alps Unified School District in Coffee Creek, California",6,06007,53.0,10.0,2.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,835.0,530.0,305.0,46.0,7.0,0.8679245283018868,15.754716981132075,148.0,0.7413793103448276
"Trinity Alps Unified School District in Cox Bar, California",6,06008,55.0,23.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,5.0,0.0,745.0,405.0,335.0,40.0,15.0,0.7272727272727273,13.545454545454545,174.0,0.6363636363636364
"Trinity Alps Unified School District in Douglas City, California",6,06009,197.0,0.0,10.0,54.0,31.0,39.0,8.0,37.0,0.0,4.0,4.0,3.0,7.0,4485.0,2345.0,2140.0,142.0,55.0,0.7208121827411168,22.766497461928935,717.0,0.8815165876777251
"Trinity Alps Unified School District in Junction City, California",6,06010,138.0,8.0,16.0,12.0,14.0,46.0,12.0,12.0,0.0,3.0,2.0,9.0,4.0,3180.0,1445.0,1740.0,108.0,30.0,0.782608695652174,23.043478260869566,822.0,0.7243589743589743
"Trinity Alps Unified School District in Lewiston, California",6,06011,518.0,25.0,45.0,57.0,46.0,63.0,77.0,154.0,0.0,0.0,39.0,4.0,8.0,12515.0,8270.0,4245.0,313.0,205.0,0.6042471042471043,24.16023166023166,1783.0,0.5219594594594594
"Trinity Alps Unified School District in Trinity Center, California",6,06012,53.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,27.0,3645.0,1830.0,1815.0,11.0,42.0,0.20754716981132076,68.77358490566037,345.0,0.9137931034482759
"Turlock Unified School District in Chatom Union, California",6,06013,1216.0,247.0,147.0,332.0,151.0,164.0,65.0,56.0,9.0,28.0,11.0,6.0,0.0,15975.0,9235.0,6740.0,1106.0,110.0,0.9095394736842105,13.13733552631579,4043.0,0.6187141947803947
"Turlock Unified School District in Keyes Union, California",6,06014,2003.0,121.0,189.0,365.0,487.0,213.0,167.0,188.0,8.0,99.0,27.0,34.0,105.0,45590.0,28915.0,16675.0,1542.0,461.0,0.7698452321517724,22.7608587119321,6664.0,0.7223008015087223
"Santa Cruz City High School District (9-12) in Soquel, California",6,06015,12551.0,266.0,1536.0,2508.0,2866.0,1741.0,189.0,761.0,171.0,307.0,819.0,832.0,555.0,311575.0,188245.0,123330.0,9106.0,3445.0,0.7255198788941121,24.824715162138475,28502.0,0.7731068031656139
"Dinuba Unified (9-12) in Kings River Union, California",6,06016,666.0,3.0,40.0,81.0,140.0,125.0,36.0,129.0,13.0,23.0,55.0,15.0,6.0,15790.0,10940.0,4850.0,425.0,241.0,0.6381381381381381,23.70870870870871,2232.0,0.6
"Dinuba Unified (9-12) in Monson-Sultana Joint Union, California",6,06017,720.0,43.0,52.0,100.0,142.0,59.0,69.0,110.0,20.0,36.0,70.0,19.0,0.0,16300.0,10610.0,5690.0,465.0,255.0,0.6458333333333334,22.63888888888889,2569.0,0.6528497409326425
"Washington Unified School District (9-12), California",6,06018,3262.0,198.0,237.0,412.0,640.0,661.0,301.0,438.0,68.0,37.0,130.0,84.0,56.0,69865.0,40985.0,28885.0,2449.0,813.0,0.7507664009809932,21.417841814837523,10013.0,0.7392566782810686
"Santa Barbara Unified School District (7-12), California",6,06019,45337.0,1995.0,8764.0,13776.0,9919.0,5150.0,875.0,2245.0,323.0,338.0,731.0,541.0,680.0,722285.0,401595.0,320690.0,40479.0,4858.0,0.8928469020888017,15.931468778260582,106011.0,0.6470346048541491
"Lammersville Joint Unified School District (9-12), California",6,06020,94.0,0.0,15.0,2.0,2.0,15.0,11.0,1.0,8.0,3.0,13.0,20.0,4.0,3520.0,2320.0,1200.0,45.0,49.0,0.4787234042553192,37.4468085106383,211.0,0.7448979591836735
"Bishop Unified School District in Round Valley (9-12), California",6,06021,473.0,27.0,18.0,58.0,89.0,56.0,19.0,63.0,43.0,24.0,59.0,4.0,13.0,13545.0,5850.0,7695.0,267.0,206.0,0.5644820295983086,28.636363636363637,1207.0,0.7535641547861507
"Santa Paula Unified (9-12) in Briggs, California",6,06022,1188.0,31.0,153.0,110.0,109.0,180.0,107.0,206.0,16.0,95.0,118.0,20.0,43.0,31345.0,20460.0,10885.0,690.0,498.0,0.5808080808080808,26.384680134680135,3166.0,0.7449879711307137
