district_nces_code,polygon_area,district_name,cbsa_title,median_sale_price,median_sale_price_per_sqft,total_sales
0620190,17112885.7874759,La Habra City Elementary,"Los Angeles-Long Beach-Anaheim, CA",385e3,279.10685805422645,1208
0620220,351878658.839759,La Honda-Pescadero Unified,"San Francisco-Oakland-Hayward, CA",625e3,479.1208791208791,96
0620310,50060466.759917,Lafayette Elementary School District,"San Francisco-Oakland-Hayward, CA",1185e3,532.319391634981,920
0620370,60265957.2937794,Laguna Beach Unified School District,"Los Angeles-Long Beach-Anaheim, CA",136e4,756.7567567567568,1366
0620430,96833483.8733054,Laguna Joint Elementary School District,"San Francisco-Oakland-Hayward, CA",105e4,656.25,1
0620460,40352691.508394,Pacifica,"San Francisco-Oakland-Hayward, CA",715e3,499.3333333333333,966
0620520,48122074.2670126,Lagunitas Elementary School District,"San Francisco-Oakland-Hayward, CA",695e3,442.7083333333333,109
0620700,83107199.4647455,Lakeside Joint School District,"San Francisco-Oakland-Hayward, CA",895e3,403.0612244897959,106
0620880,215870086.237232,Lancaster Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",177e3,109.40032414910858,4959
0620910,15055312.7719558,Larkspur School District,"San Francisco-Oakland-Hayward, CA",1195e3,672.4870221802737,470
0621000,204246708.372026,Las Virgenes Unified School District,"Los Angeles-Long Beach-Anaheim, CA",867500.0,360.6237816764133,2696
0621210,9722920.17519828,Lawndale Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",45e4,325.30904359141186,666
0621420,4258932.26192014,Lennox School District,"Los Angeles-Long Beach-Anaheim, CA",355e3,252.77044854881265,146
0621600,567759063.060617,Liberty Union High School District,"San Francisco-Oakland-Hayward, CA",42e4,197.47899159663865,5410
0621930,13826743.2059216,Little Lake City Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",37e4,282.93135435992576,707
0622110,695138322.214875,Livermore Valley Joint Unified,"San Francisco-Oakland-Hayward, CA",608e3,366.1812010443864,3620
0622380,20795932.9831531,Las Lomitas Elementary School District,"San Francisco-Oakland-Hayward, CA",1844e3,852.8111181301326,449
0622500,357687148.019761,Long Beach Unified School District,"Los Angeles-Long Beach-Anaheim, CA",399e3,316.4012053379251,12350
0622590,46072893.25393,Los Alamitos Unified School District,"Los Angeles-Long Beach-Anaheim, CA",285e3,260.3448275862069,2427
0622650,55709382.6607536,Los Altos Elementary School District,"San Francisco-Oakland-Hayward, CA",21e5,919.6902654867257,1254
0622710,1680408649.16026,Los Angeles Unified School District,"Los Angeles-Long Beach-Anaheim, CA",492e3,335.5879292403746,83851
0622800,369710282.386444,Los Gatos-Saratoga Joint Union High School District,"San Francisco-Oakland-Hayward, CA",15e5,656.8144499178982,1932
0622890,9075396.01394683,Los Nietos,"Los Angeles-Long Beach-Anaheim, CA",37e4,300.7181328545781,231
0623010,24769331.1336623,Lowell Joint School District,"Los Angeles-Long Beach-Anaheim, CA",476500.0,296.9557725445147,1052
0623160,12445023.7465165,Lynwood Unified School District,"Los Angeles-Long Beach-Anaheim, CA",305e3,243.54460093896714,575
0623430,13533635.8795739,Magnolia Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",427e3,283.9396628216504,847
0624030,105235351.345417,Martinez Unified School District,"San Francisco-Oakland-Hayward, CA",455e3,298.14385150812063,1094
0624500,283430246.818086,Milpitas Unified School District,"San Francisco-Oakland-Hayward, CA",653e3,440.2697495183044,1554
0624570,16573837.5933997,Menlo Park City Elementary School District,"San Francisco-Oakland-Hayward, CA",176e4,936.1702127659574,737
0624870,53971481.3199589,Mill Valley Elementary,"San Francisco-Oakland-Hayward, CA",1285e3,684.5670053217223,1146
0624900,48295536.9988795,Millbrae Elementary School District,"San Francisco-Oakland-Hayward, CA",117e4,700.2906976744187,544
0625320,16930818.5050772,Monrovia Unified School District,"Los Angeles-Long Beach-Anaheim, CA",55e4,370.3703703703704,1223
0625470,56949771.7931399,Montebello Unified School District,"Los Angeles-Long Beach-Anaheim, CA",4e5,285.0877192982456,1741
0625740,46252879.3079364,Moraga Elementary,"San Francisco-Oakland-Hayward, CA",869e3,434.8776223776224,618
0626130,70642416.7348394,Mountain House Elementary School District,"San Francisco-Oakland-Hayward, CA",625e3,251.42857142857142,4
0626190,11875320.8977138,Mountain View Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",405e3,267.17557251908397,448
0626310,103528865.030538,Mountain View-Los Altos Union High,"San Francisco-Oakland-Hayward, CA",122e4,762.3888182973317,2727
0626340,127866534.533769,Mt. Baldy Joint Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",18e4,212.00440528634363,25
0626370,293601442.259002,Mt. Diablo Unified School District,"San Francisco-Oakland-Hayward, CA",475e3,309.09090909090907,9060
0626490,1431540156.56734,Muroc Joint Unified,"Los Angeles-Long Beach-Anaheim, CA",49e3,36.29032258064516,83
0626910,43421309.8355428,New Haven Unified School District,"San Francisco-Oakland-Hayward, CA",6e5,381.1973807296539,1652
0627060,63160098.7521796,Newark Unified School District,"San Francisco-Oakland-Hayward, CA",585e3,397.9310344827586,1223
0627180,170105980.368052,Newhall School District,"Los Angeles-Long Beach-Anaheim, CA",46e4,275.7158006362672,2655
0627240,103644080.76466,Newport-Mesa Unified School District,"Los Angeles-Long Beach-Anaheim, CA",919e3,501.1111111111111,6308
0627300,89658235.9485513,Nicasio School District,"San Francisco-Oakland-Hayward, CA",125e4,527.1828665568369,20
0627690,40816245.9680638,Norwalk-La Mirada Unified School District,"Los Angeles-Long Beach-Anaheim, CA",364e3,288.9191026512577,2692
0627720,166037605.522972,Novato Unified School District,"San Francisco-Oakland-Hayward, CA",685e3,370.5882352941176,2104
0627850,58295460.4622736,Oak Park Unified School District,"Los Angeles-Long Beach-Anaheim, CA",62e4,346.4673913043478,625
0628050,149941873.460412,Oakland Unified School District,"San Francisco-Oakland-Hayward, CA",5e5,365.1115618661258,10738
0628080,139686249.624709,Oakley Union Elementary School District,"San Francisco-Oakland-Hayward, CA",345e3,181.4516129032258,1476
0628140,33860129.3279296,Ocean View School District,"Los Angeles-Long Beach-Anaheim, CA",605e3,370.94594594594594,2375
0628170,200046999.786598,Ocean View,"Los Angeles-Long Beach-Anaheim, CA",377e3,245.46827794561935,279
0628320,202881803.416716,Old Adobe Union School District,"San Francisco-Oakland-Hayward, CA",53e4,299.9040307101727,724
0628470,62626658.2352676,Ontario-Montclair Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",3e5,217.498764211567,3262
0628650,374575786.438788,Orange Unified School District,"Los Angeles-Long Beach-Anaheim, CA",515e3,303.125,6207
0628860,69479044.7713121,Orinda Union Elementary School District,"San Francisco-Oakland-Hayward, CA",1247400.0,527.3871206513694,756
0629270,601887758.071777,Oxnard Union High School District,"Los Angeles-Long Beach-Anaheim, CA",425e3,268.62026862026863,7915
0629340,127468618.950299,Pacific Elementary School District,"San Francisco-Oakland-Hayward, CA",656e3,514.0018066847335,13
0629580,197539529.86723,Palmdale Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",2e5,118.58974358974359,4776
0629610,65252545.8490701,Palo Alto Unified School District,"San Francisco-Oakland-Hayward, CA",205e4,1094.5273631840796,1425
0629700,63168528.4396742,Palos Verdes Peninsula Unified,"Los Angeles-Long Beach-Anaheim, CA",1262500.0,534.5501955671447,2234
0629850,17701306.2942461,Paramount Unified School District,"Los Angeles-Long Beach-Anaheim, CA",27e4,237.9182156133829,962
