district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,num_top_schools,percent_top_schools,avg_school_rating,best_rating,percent_students_in_top_schools,total_students,median_sale_price,median_sale_price_per_sqft,total_sales
2201170,Orleans Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",0,0.0,6.67,8,0.0,1268,224000,134.0,12434
2201230,Plaquemines Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",2,0.4,7.0,9,0.673111349803079,2793,168000,84.21052631578948,624
2201410,St. Bernard Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",0,0.0,6.2,8,0.0,3110,125000,78.77358490566037,1071
2201440,St. Charles Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",3,0.5,8.17,10,0.401234567901235,2754,205000,108.09567617295308,1328
2201500,St. James Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",0,0.0,5.5,8,0.0,2163,134000,79.19169852539596,112
2201530,St. John the Baptist Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",1,0.125,5.13,9,0.102558193132058,4339,121987,75.62408223201174,1204
2201650,St. Tammany Parish School District,"New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",11,0.366666666666667,7.57,10,0.418413481298808,17031,205000,109.27152317880795,10987
2201920,West Baton Rouge Parish School District,"Baton Rouge, LA","Baton Rouge, LA","Baton Rouge, LA",0,0.0,5.4,7,0.0,1367,189851,110.36616812790098,790
2201980,West Feliciana Parish School District,"Baton Rouge, LA","Baton Rouge, LA","Baton Rouge, LA",0,0.0,8.0,8,0.0,600,231855,129.31034482758622,240
2400060,Anne Arundel County Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",30,0.38961038961039,7.53,10,0.40197509888768,37669,297000,177.68199233716476,23574
2400090,Baltimore City Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",1,0.01,2.43,9,0.0307018528916339,44525,106000,90.8119658119658,20158
2400120,Baltimore County Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",20,0.188679245283019,5.87,10,0.191816900363528,53916,212000,139.426800929512,27866
2400150,Calvert County Public Schools,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",3,0.25,7.67,10,0.268747159521285,6601,245000,138.88888888888889,4262
2400210,Carroll County Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",10,0.454545454545455,8.05,10,0.468140794223827,11080,282000,151.05162523900574,6568
2400240,Cecil County Public Schools,"Wilmington, DE","Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0.0,5.31,7,0.0,7211,200000,116.5,3417
2400270,Charles County Public Schools,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0.0476190476190476,6.0,9,0.0437153884880013,11918,249470,126.5295358649789,6876
2400330,Frederick County Public Schools,"Washington, DC","Silver Spring-Frederick-Rockville, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",13,0.382352941176471,7.79,10,0.40297749957706003,17733,254900,141.2742382271468,11290
2400390,Harford County Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",15,0.46875,7.72,10,0.495280235988201,16950,229000,130.27667984189722,9227
