district_name,state,schooldistrictunified,total_commuters,commute_Less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,agg_travel_time,agg_travel_time_m,agg_travel_time_f,commute_under_30,commute_greater_than_30,percent_under_30,mean_commute_time,total_population,percent_drive_alone
"Butte Elementary School District, Montana",30,05280,14732.0,882.0,3343.0,4552.0,2988.0,1185.0,176.0,628.0,17.0,162.0,352.0,273.0,174.0,218290.0,128175.0,90115.0,13126.0,1606.0,0.890985609557426,14.817404289980994,32883.0,0.8044350858722116
"Bynum Elementary School District, Montana",30,05330,91.0,19.0,8.0,12.0,3.0,19.0,12.0,4.0,0.0,10.0,2.0,2.0,0.0,1665.0,775.0,890.0,73.0,18.0,0.8021978021978022,18.296703296703296,244.0,0.7961165048543689
"Canyon Creek Elementary School District, Montana",30,05460,1110.0,22.0,59.0,209.0,374.0,302.0,41.0,51.0,0.0,15.0,7.0,11.0,19.0,20815.0,12155.0,8660.0,1007.0,103.0,0.9072072072072072,18.75225225225225,2232.0,0.8347676419965576
"Cardwell Elementary School District, Montana",30,05550,130.0,13.0,3.0,12.0,13.0,28.0,0.0,10.0,7.0,12.0,15.0,17.0,0.0,3795.0,2035.0,1760.0,69.0,61.0,0.5307692307692308,29.192307692307693,372.0,0.6845238095238095
"Carter Elementary School District, Montana",30,05760,70.0,8.0,6.0,9.0,9.0,2.0,4.0,20.0,2.0,0.0,10.0,0.0,0.0,1555.0,580.0,975.0,38.0,32.0,0.5428571428571428,22.214285714285715,215.0,0.7777777777777778
"Vaughn Elementary School District, Montana",30,05850,487.0,6.0,22.0,29.0,34.0,147.0,52.0,136.0,14.0,3.0,13.0,5.0,26.0,15810.0,10210.0,5605.0,290.0,197.0,0.5954825462012321,32.46406570841889,1130.0,0.6469428007889546
"Cascade Elementary School District, Montana",30,05880,727.0,49.0,90.0,24.0,53.0,12.0,76.0,173.0,50.0,31.0,93.0,61.0,15.0,22235.0,13450.0,8785.0,304.0,423.0,0.41815680880330125,30.584594222833562,1883.0,0.6216216216216216
"Cayuse Prairie Elementary School District, Montana",30,05990,1014.0,35.0,42.0,65.0,128.0,229.0,128.0,226.0,51.0,27.0,36.0,25.0,22.0,26040.0,14455.0,11580.0,627.0,387.0,0.6183431952662722,25.680473372781066,2531.0,0.7793040293040293
"McCormick Elementary School District, Montana",30,06030,234.0,8.0,23.0,11.0,25.0,42.0,3.0,12.0,5.0,3.0,54.0,43.0,5.0,8130.0,3965.0,4165.0,112.0,122.0,0.47863247863247865,34.743589743589745,586.0,0.6796875
"Charlo Elementary School District, Montana",30,06112,497.0,59.0,38.0,83.0,90.0,57.0,18.0,66.0,0.0,12.0,49.0,17.0,8.0,11215.0,6710.0,4505.0,345.0,152.0,0.6941649899396378,22.56539235412475,1261.0,0.73502722323049
"Chinook Elementary School District, Montana",30,06260,806.0,79.0,228.0,161.0,97.0,24.0,40.0,109.0,14.0,16.0,6.0,22.0,10.0,13280.0,8680.0,4600.0,629.0,177.0,0.7803970223325062,16.476426799007445,1820.0,0.7563218390804598
"Choteau Elementary School District, Montana",30,06320,1100.0,275.0,404.0,99.0,103.0,24.0,15.0,67.0,6.0,7.0,6.0,77.0,17.0,16235.0,6995.0,9240.0,920.0,180.0,0.8363636363636363,14.75909090909091,2443.0,0.6731748726655348
"Circle Elementary School District, Montana",30,06790,551.0,226.0,101.0,68.0,35.0,54.0,8.0,20.0,0.0,3.0,29.0,5.0,2.0,6385.0,2985.0,3400.0,492.0,59.0,0.8929219600725953,11.588021778584393,1139.0,0.7205651491365777
"Clancy Elementary School District, Montana",30,06840,1270.0,9.0,39.0,149.0,234.0,374.0,180.0,188.0,19.0,21.0,9.0,21.0,27.0,29415.0,14985.0,14430.0,985.0,285.0,0.7755905511811023,23.161417322834644,2741.0,0.8057445200302343
"Clinton Elementary School District, Montana",30,06870,1192.0,56.0,51.0,74.0,129.0,233.0,196.0,279.0,12.0,65.0,40.0,31.0,26.0,31915.0,16635.0,15280.0,739.0,453.0,0.6199664429530202,26.774328859060404,2557.0,0.7183320220298978
"Cohagen Elementary School District, Montana",30,07030,57.0,11.0,13.0,12.0,0.0,8.0,0.0,4.0,6.0,0.0,1.0,2.0,0.0,895.0,290.0,605.0,44.0,13.0,0.7719298245614035,15.701754385964913,150.0,0.55
"Colstrip Elementary School District, Montana",30,07050,1194.0,136.0,478.0,228.0,106.0,107.0,28.0,81.0,0.0,25.0,5.0,0.0,0.0,13465.0,8310.0,5155.0,1083.0,111.0,0.907035175879397,11.277219430485761,2511.0,0.7321571772253408
"Columbia Falls Elementary School District, Montana",30,07110,6513.0,285.0,1293.0,1056.0,873.0,1151.0,369.0,865.0,87.0,163.0,171.0,114.0,86.0,124970.0,66610.0,58360.0,5027.0,1486.0,0.7718409335175802,19.187778289574698,14331.0,0.8213647199046484
"Columbus Elementary School District, Montana",30,07190,1638.0,198.0,409.0,256.0,101.0,100.0,21.0,41.0,47.0,33.0,257.0,126.0,49.0,38310.0,27360.0,10950.0,1085.0,553.0,0.6623931623931624,23.388278388278387,3775.0,0.6094847775175644
"Conrad Elementary School District, Montana",30,07330,1448.0,298.0,467.0,227.0,155.0,58.0,60.0,84.0,11.0,16.0,24.0,43.0,5.0,18245.0,10460.0,7780.0,1265.0,183.0,0.8736187845303868,12.600138121546962,3431.0,0.7127457197209892
"Cooke City Elementary School District, Montana",30,07350,13.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,65.0,45.0,13.0,0.0,1.0,8.461538461538462,59.0,0.5238095238095238
"Cottonwood Elementary School District (Gallatin County), Montana",30,07500,87.0,3.0,8.0,4.0,17.0,21.0,3.0,26.0,0.0,1.0,2.0,0.0,2.0,2015.0,1130.0,885.0,56.0,31.0,0.6436781609195402,23.160919540229884,204.0,0.7128712871287128
