LEAID,NAME_LEA15,NAME_CBSA15,median_sale_price,median_sale_price_per_sqft,gsmean_pool,mean_commute_time,total_population,percent_under_30,percent_drive_alone,pop_density
2502790,Boston School District,"Boston-Cambridge-Newton, MA-NH",495e3,441.6666666666667,-0.246801099,30.052878660448048,650281.0,0.4887070876978362,0.3862353669684192,13445.194662689913
2507020,Lowell School District,"Boston-Cambridge-Newton, MA-NH",207600.0,137.30355665839537,-0.285330787,25.408554423484315,109349.0,0.6371431453646726,0.7398112985945269,8050.443958881003
2503270,Cambridge School District,"Boston-Cambridge-Newton, MA-NH",65e4,573.7704918032787,0.978848057,25.07805058736374,107916.0,0.60075140226479,0.2835140785261645,16888.796942989204
2503090,Brockton School District,"Boston-Cambridge-Newton, MA-NH",215e3,137.5,-0.425996079,29.752842434001856,94532.0,0.5410140047821207,0.7780961249194184,4432.256904584606
2509870,Quincy School District,"Boston-Cambridge-Newton, MA-NH",35e4,262.8120893561104,1.050561615,34.095188073209165,93177.0,0.4052159508706719,0.5929344050808772,5623.4880721909885
2507110,Lynn School District,"Boston-Cambridge-Newton, MA-NH",25e4,165.77361018084395,-0.254068928,30.24743841290604,91626.0,0.5194147712133323,0.6368569917446594,8530.238624224266
2508610,Newton School District,"Boston-Cambridge-Newton, MA-NH",825e3,378.7878787878788,3.073700982,27.56357310907544,87675.0,0.5267557691345047,0.6402725242674201,4915.272154193746
2506660,Lawrence School District,"Boston-Cambridge-Newton, MA-NH",22e4,104.80530240265121,-0.691163919,22.92401945501029,78804.0,0.6984473405250359,0.63965438835834465,11378.41770244302
2510890,Somerville School District,"Boston-Cambridge-Newton, MA-NH",567500.0,406.33608815427,0.061701012,29.71476866814084,78595.0,0.4697440040823269,0.39795960091593063,19066.8173633835
2504980,Framingham School District,"Boston-Cambridge-Newton, MA-NH",34e4,201.5,0.779858556,28.5169748826939,70443.0,0.5312724261661607,0.7409182912538618,2813.4448475506365
2512000,Waltham School District,"Boston-Cambridge-Newton, MA-NH",43e4,283.9007501442585,0.922176625,25.3421339469541,62438.0,0.605486254087441,0.6956383409498467,4904.988984696098
2505970,Haverhill School District,"Boston-Cambridge-Newton, MA-NH",239900.0,143.01250679717236,0.135725981,29.465921336206897,62079.0,0.575262661637931,0.7822191816523325,1883.0233870145664
2507170,Malden School District,"Boston-Cambridge-Newton, MA-NH",335e3,220.6035379812695,0.672233984,34.77790116601888,60612.0,0.36848809484926676,0.5060842132371878,12017.262846567059
2503150,Brookline School District,"Boston-Cambridge-Newton, MA-NH",775e3,531.25,2.952672479,28.854553583711652,59132.0,0.49583849222726645,0.3717517382806242,8759.815775647012
2509720,Plymouth School District,"Boston-Cambridge-Newton, MA-NH",299e3,177.69607843137254,1.415484626,33.19129580437393,57848.0,0.533532258651432,0.8085054508724879,599.781416761656
2507560,Medford School District,"Boston-Cambridge-Newton, MA-NH",435e3,281.42589118198873,0.589002427,30.112705936950974,57136.0,0.4886796830974243,0.6292881442151782,7052.828618684329
2512840,Weymouth School District,"Boston-Cambridge-Newton, MA-NH",299e3,214.7766323024055,0.956173753,32.5994476128986,55304.0,0.51063524516661285,0.7840849364028172,3293.433893573372
2510050,Revere School District,"Boston-Cambridge-Newton, MA-NH",31e4,187.77739842949813,0.731029642,31.946236559139784,53095.0,0.45074514242595737,0.5910068208778173,9351.875640659198
2509360,Peabody School District,"Boston-Cambridge-Newton, MA-NH",325e3,206.18556701030928,0.885193451,26.67331149094067,52065.0,0.6179686574823353,0.8212305355108241,3211.5700691386382
2507740,Methuen School District,"Boston-Cambridge-Newton, MA-NH",27e4,159.4387755102041,0.309186923,27.131055668562414,48607.0,0.5974511187679024,0.8470182197608155,2184.593026650941
2501980,Arlington School District,"Boston-Cambridge-Newton, MA-NH",55e4,346.1854460093897,2.795304001,30.946944701069025,44128.0,0.46258413620166294,0.644535791396778,8575.237014750935
2504770,Everett School District,"Boston-Cambridge-Newton, MA-NH",335e3,200.83102493074793,0.114364313,32.582256438456604,43885.0,0.41334433140867016,0.5507803765484549,12812.471248722411
2510380,Salem School District,"Boston-Cambridge-Newton, MA-NH",294e3,198.46153846153845,0.037104489,29.130706391158096,42499.0,0.5910139356078808,0.6518267929634641,5132.82871159783
2502670,Billerica School District,"Boston-Cambridge-Newton, MA-NH",35e4,195.53072625698323,1.133655911,28.74959500115714,41956.0,0.5390418884517473,0.863125866929169,1641.0814107222811
2503030,Bridgewater-Raynham School District,"Boston-Cambridge-Newton, MA-NH",304e3,173.57762777242044,1.347453072,32.82048639736191,40843.0,0.5279781533388294,0.7994316482201616,1495.1661551654706
2502640,Beverly School District,"Boston-Cambridge-Newton, MA-NH",351500.0,222.99721004384216,1.304831053,27.109803329812383,40670.0,0.6276344248277249,0.7438509200150206,2694.57949097874
2507320,Marlborough School District,"Boston-Cambridge-Newton, MA-NH",283e3,167.33266733266734,1.268949545,28.405325024784023,39425.0,0.5724401642826795,0.7746998246166299,1889.4637451453207
2513200,Woburn School District,"Boston-Cambridge-Newton, MA-NH",38e4,244.34571890145395,1.345942248,24.44598270669387,39104.0,0.6339259691052171,0.832247175207464,3094.401947783594
2503540,Chelsea School District,"Boston-Cambridge-Newton, MA-NH",285e3,192.1627731725697,-0.301295602,30.3957399103139,37581.0,0.4920403587443946,0.4230726993191302,17031.520474096615
2502940,Braintree School District,"Boston-Cambridge-Newton, MA-NH",363e3,248.55334538878841,2.251548443,32.86368121026091,36905.0,0.47429291821968866,0.7429622520793346,2683.827344978998
