district_fips,district_name,percent_under_30,total_population,percent_drive_alone,mean_commute_time
0100001,"Fort Rucker School District, Alabama",0.929364278506559,4895.0,0.7433978873239436,12.560544904137235
0100003,"Maxwell AFB School District, Alabama",0.9824561403508771,2231.0,0.5420353982300885,8.389724310776943
0100005,"Albertville City School District, Alabama",0.8092681218629625,21406.0,0.8326072001834441,18.30920975837516
0100006,"Marshall County School District, Alabama",0.6297433647729765,47838.0,0.8035563528915154,27.3374095196315
0100007,"Hoover City School District, Alabama",0.6842869299694648,83012.0,0.8665318744053283,23.403288782099413
0100008,"Madison City School District, Alabama",0.8235374771480805,45590.0,0.9129103435853559,18.65425045703839
0100011,"Leeds City School District, Alabama",0.5959249546096429,11881.0,0.8999010880316518,25.38833972160581
0100012,"Boaz City School District, Alabama",0.7938718662952646,9673.0,0.8270676691729323,17.540389972144848
0100013,"Trussville City School District, Alabama",0.5330173775671406,19697.0,0.8783659260776083,27.812006319115323
0100030,"Alexander City City School District, Alabama",0.751750042683968,17324.0,0.8255813953488372,19.924876216493086
0100060,"Andalusia City School District, Alabama",0.8265765765765766,9058.0,0.8411302982731554,17.205598455598455
0100090,"Anniston City School District, Alabama",0.7664961636828644,22626.0,0.8419350827011566,21.296675191815858
0100100,"Arab City School District, Alabama",0.5733207190160833,8282.0,0.8538673188627331,25.96657205928729
0100120,"Athens City School District, Alabama",0.619113987058238,23938.0,0.8504152418172936,24.892483822797413
0100180,"Attalla City School District, Alabama",0.835696413678065,5965.0,0.8851913477537438,19.795663052543787
0100185,"Saraland City School District, Alabama",0.6911051212938005,13575.0,0.8956276445698167,22.986522911051214
0100188,"Chickasaw City School District, Alabama",0.6361386138613861,6005.0,0.8983878847093307,24.198019801980198
0100189,"Satsuma City School District, Alabama",0.5450094161958569,6152.0,0.9190404797601199,26.41431261770245
0100190,"Alabaster City School District, Alabama",0.4591628033815108,31258.0,0.8285489062602641,29.544586855740388
0100210,"Auburn City School District, Alabama",0.8334921012939589,58693.0,0.7949652711155455,18.205128205128204
0100240,"Autauga County School District, Alabama",0.5845828933474129,55221.0,0.8748341625207297,26.488912354804647
0100270,"Baldwin County School District, Alabama",0.6134952700039417,195121.0,0.8465279750071003,26.432055577453685
0100300,"Barbour County School District, Alabama",0.5462184873949579,14123.0,0.8071104387291982,29.260249554367203
0100330,"Bessemer City School District, Alabama",0.6502033701336433,27043.0,0.7951052931132613,23.104009296920395
0100360,"Bibb County School District, Alabama",0.5099517863765608,22604.0,0.8318605792832597,28.756953887996044
0100390,"Birmingham City School District, Alabama",0.7443846734616837,212211.0,0.8138929389710478,21.352161192902983
0100420,"Blount County School District, Alabama",0.3818401428421384,51077.0,0.8499845980080091,35.67718727024472
0100450,"Brewton City School District, Alabama",0.7377602701181767,5424.0,0.8982202447163515,22.31007315700619
0100480,"Bullock County School District, Alabama",0.5315508021390374,10678.0,0.7494802494802495,27.512032085561497
0100510,"Butler County School District, Alabama",0.6457293035479632,20354.0,0.8449121900826446,24.630749014454665
0100540,"Calhoun County School District, Alabama",0.6330655838997263,56540.0,0.8652925703936872,26.774649130549918
0100600,"Chambers County School District, Alabama",0.6212627585583959,27622.0,0.8545261481284842,26.10333303224641
0100630,"Cherokee County School District, Alabama",0.5243484581040391,26008.0,0.8387325369507997,27.396947357491435
0100660,"Chilton County School District, Alabama",0.5023525994772001,43819.0,0.8117130974762149,32.00464711007842
0100690,"Choctaw County School District, Alabama",0.5377313716184148,13395.0,0.8545882352941176,30.717845277645942
0100720,"Clarke County School District, Alabama",0.6723446893787575,19619.0,0.8331409727947239,24.655978623914496
0100750,"Clay County School District, Alabama",0.6183516037352822,13537.0,0.8428372739916551,30.308566788469346
0100780,"Cleburne County School District, Alabama",0.5139190166305134,14705.0,0.7751396648044693,33.06851048445409
0100810,"Coffee County School District, Alabama",0.6297878019484853,18828.0,0.8560586570620016,25.190177498999066
0100840,"Colbert County School District, Alabama",0.6274745050989802,23374.0,0.9148481973434535,26.77384523095381
0100870,"Conecuh County School District, Alabama",0.575096631695196,12865.0,0.9359323882224646,29.656267255659856
0100900,"Coosa County School District, Alabama",0.5624827586206896,11027.0,0.8544030253916802,28.61655172413793
0100930,"Covington County School District, Alabama",0.6747244934233914,22163.0,0.8275503122831367,29.872022751510844
0100960,"Crenshaw County School District, Alabama",0.5483809884491574,13938.0,0.8172781492861015,27.93978413179322
0100990,"Cullman City School District, Alabama",0.6870904325032765,15211.0,0.8962962962962963,22.482798165137616
0101020,"Cullman County School District, Alabama",0.6273154659058946,65696.0,0.8367880704219854,27.413308152850885
0101050,"Dale County School District, Alabama",0.651792828685259,15212.0,0.9106496775208431,24.17768924302789
0101080,"Daleville City School District, Alabama",0.7822085889570553,11185.0,0.8800686547951083,19.556310254163016
0101110,"Dallas County School District, Alabama",0.6789250353606789,22167.0,0.8354080221300139,26.671595731001673
0101140,"DeKalb County School District, Alabama",0.662865455910648,56956.0,0.8585464395574124,23.633441268947394
0101170,"Decatur City School District, Alabama",0.7272570343518039,55598.0,0.8567301155676411,21.071983428275505
0101200,"Demopolis City School District, Alabama",0.8144754924415941,7249.0,0.8819569120287253,14.961062757672927
0101230,"Dothan City School District, Alabama",0.7866363216101846,67708.0,0.8857103034948953,19.047331175989473
0101260,"Elba City School District, Alabama",0.7075581395348837,4886.0,0.7465437788018433,22.171511627906977
0101290,"Elmore County School District, Alabama",0.5184057475196716,73727.0,0.8640809105777897,28.783954840916866
0101320,"Enterprise City School District, Alabama",0.8541615111771014,27785.0,0.8646997347053622,18.0598861667904
