district_name,state,schooldistrictunified,total_commuters,commute_Less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,agg_travel_time,agg_travel_time_m,agg_travel_time_f,commute_under_30,commute_greater_than_30,percent_under_30,mean_commute_time,total_population,percent_drive_alone
"Natchitoches Parish School District, Louisiana",22,01140,14005.0,689.0,2762.0,3311.0,2045.0,1107.0,413.0,1588.0,328.0,177.0,517.0,669.0,399.0,305925.0,183570.0,122355.0,10327.0,3678.0,0.7373795073188147,21.843984291324528,39330.0,0.804411559402485
"Orleans Parish School District, Louisiana",22,01170,161560.0,3814.0,12553.0,25158.0,30393.0,30261.0,10001.0,26175.0,2730.0,3148.0,7681.0,6610.0,3036.0,3774150.0,1889600.0,1884550.0,112180.0,49380.0,0.6943550383758356,23.36067095815796,376738.0,0.6993196144084458
"Ouachita Parish School District, Louisiana",22,01200,44313.0,945.0,4193.0,8875.0,8750.0,7758.0,2478.0,7233.0,693.0,500.0,1094.0,741.0,1053.0,986530.0,534565.0,451970.0,32999.0,11314.0,0.7446798907769729,22.262767133798206,106240.0,0.888391868550423
"Plaquemines Parish School District, Louisiana",22,01230,10077.0,463.0,1313.0,1434.0,1147.0,1527.0,372.0,1521.0,186.0,189.0,620.0,910.0,395.0,264635.0,158820.0,105815.0,6256.0,3821.0,0.6208196883993252,26.261288081770367,23599.0,0.8408736349453978
"Pointe Coupee Parish School District, Louisiana",22,01260,8549.0,335.0,799.0,1317.0,1014.0,718.0,384.0,979.0,358.0,275.0,1456.0,726.0,188.0,248810.0,147995.0,100810.0,4567.0,3982.0,0.5342145280149725,29.103988770616446,22498.0,0.8425546448087432
"Rapides Parish School District, Louisiana",22,01290,50526.0,2164.0,6075.0,9973.0,10065.0,7854.0,3039.0,4959.0,889.0,896.0,1762.0,1116.0,1734.0,1152145.0,691105.0,461040.0,39170.0,11356.0,0.7752444286110122,22.803012310493607,132225.0,0.8279574071195399
"Red River Parish School District, Louisiana",22,01320,3080.0,110.0,418.0,450.0,483.0,332.0,97.0,363.0,17.0,61.0,331.0,278.0,140.0,88490.0,61910.0,26580.0,1890.0,1190.0,0.6136363636363636,28.73051948051948,8838.0,0.8372902817347262
"Richland Parish School District, Louisiana",22,01350,7751.0,217.0,2536.0,1322.0,709.0,881.0,241.0,791.0,181.0,240.0,247.0,187.0,199.0,153465.0,96735.0,56730.0,5906.0,1845.0,0.7619661979099471,19.799380725067735,20777.0,0.8924921135646687
"Sabine Parish School District, Louisiana",22,01380,8099.0,470.0,885.0,1341.0,857.0,1032.0,400.0,792.0,139.0,306.0,745.0,487.0,645.0,263955.0,189885.0,74065.0,4985.0,3114.0,0.6155080874181997,32.59106062476849,24248.0,0.7619901925606984
"St. Bernard Parish School District, Louisiana",22,01410,17103.0,326.0,1447.0,3135.0,1722.0,1555.0,959.0,4123.0,589.0,517.0,1608.0,826.0,296.0,452485.0,259295.0,193185.0,9144.0,7959.0,0.5346430450798105,26.456469625211952,42858.0,0.8643071247406041
"St. Charles Parish School District, Louisiana",22,01440,23901.0,629.0,2294.0,2887.0,3157.0,3284.0,1218.0,4266.0,816.0,1414.0,2376.0,1127.0,433.0,626020.0,347090.0,278925.0,13469.0,10432.0,0.5635329065729467,26.192209530981966,52639.0,0.8843141275374206
"St. Helena Parish School District, Louisiana",22,01470,3447.0,55.0,275.0,431.0,226.0,337.0,217.0,477.0,77.0,46.0,522.0,520.0,264.0,121340.0,72840.0,48500.0,1541.0,1906.0,0.4470554105018857,35.20162460110241,10818.0,0.8509837962962963
"St. James Parish School District, Louisiana",22,01500,8739.0,421.0,1005.0,1108.0,1004.0,1171.0,492.0,1e3,318.0,311.0,915.0,784.0,210.0,234525.0,126615.0,107910.0,5201.0,3538.0,0.5951481862913377,26.836594576038447,21650.0,0.8695701357466064
"St. John the Baptist Parish School District, Louisiana",22,01530,18965.0,586.0,2642.0,2599.0,2041.0,1756.0,491.0,2721.0,702.0,791.0,2322.0,2028.0,286.0,523200.0,269405.0,253795.0,10115.0,8850.0,0.533350909570261,27.587661481676772,44161.0,0.8683346364347146
"St. Landry Parish School District, Louisiana",22,01560,29560.0,1897.0,4808.0,3910.0,2772.0,3445.0,1271.0,4420.0,759.0,1590.0,1549.0,1773.0,1366.0,786765.0,481865.0,304895.0,18103.0,11457.0,0.6124154262516914,26.61586603518268,83613.0,0.8496680470650102
"St. Martin Parish School District, Louisiana",22,01590,22941.0,1055.0,2107.0,2420.0,2942.0,3713.0,1714.0,3963.0,732.0,755.0,1851.0,826.0,863.0,630805.0,372220.0,258585.0,13951.0,8990.0,0.6081251907065952,27.49683971927989,53126.0,0.8283562822719449
"St. Mary Parish School District, Louisiana",22,01620,20585.0,2097.0,4010.0,4867.0,2894.0,1753.0,568.0,1313.0,318.0,357.0,826.0,605.0,977.0,450680.0,306390.0,144285.0,16189.0,4396.0,0.7864464415836774,21.893611853291233,53441.0,0.8150153315446531
