"place_id","place_fips","polygon_area","is_suburb","walk_score"
26547,3680225,7320430.55341514,"suburb",63.4696
15477,3459880,11103262.0051145,"suburb",48.8509
23338,3434470,8567766.6575482,"suburb",59.9674
23454,3636233,25809271.3653251,"suburb",36.1351
24437,3649407,15687790.8282873,"suburb",37.6295
4682,3418070,7305671.11903823,"suburb",58.9682
16741,3465280,7627697.02785835,"suburb",68.1357
23555,3637869,14151913.4072614,"suburb",39.8549
5804,3422560,2182087.1087405,"suburb",
22563,3422560,3515632.41518497,"suburb",
21240,3402350,9382981.14775573,"suburb",49.7056
18609,3473020,47719149.8886226,"suburb",16.6372
4760,3418400,5135399.75018101,"suburb",58.5006
23703,3639672,18629033.6343433,"suburb",26.7202
17057,3466570,17308681.958415,"suburb",
22015,3414380,10471821.2023005,"suburb",39.6536
16773,3665431,17689161.6806084,"suburb",36.0134
24581,3651440,8858021.14271722,"suburb",44.6913
24744,3653748,5185375.5733611,"suburb",63.2534
11729,3645997,5827573.15851006,"suburb",41.2457
26668,3682942,9962502.8213984,"suburb",50.5022
25440,3663506,4605733.82602145,"suburb",
13318,3451660,6918820.32412504,"suburb",
21485,3606387,9564493.78292959,"suburb",
25576,3665409,14220641.4406403,"suburb",35.4134
24190,3646074,11036306.3880839,"suburb",
21446,3605738,7692164.6928152,"suburb",
6728,3626264,3698981.16969436,"suburb",
24799,3454315,15732710.6028787,"suburb",
17755,3469420,8158708.84282396,"suburb",
22742,3625417,11014970.9286825,"suburb",
10822,3442510,13341717.6584893,"suburb",
501,3401960,3919692.62690795,"suburb",
24985,3656902,19425817.9916384,"suburb",
16495,3664309,21668915.1659745,"suburb",
25155,3659520,19628774.5766816,"suburb",
13485,3452320,7027235.00161805,"suburb",
25620,3666058,6896355.98651468,"suburb",
24705,3653275,5158746.70447776,"suburb",
19972,3679444,6357971.51136144,"suburb",
22644,3424030,7168798.64752336,"suburb",
8413,3432910,32446759.0056193,"suburb",
24192,3646085,15695841.2126544,"suburb",
32634,3425020,7024496.87423731,"suburb",
18484,3472420,13409125.6657474,"suburb",
15862,3461680,17317771.6866811,"suburb",
25808,3669001,5747314.72710605,"suburb",
1356,3605100,13307026.0857981,"suburb",
7704,3430210,3410671.24118503,"suburb",39.2236
25331,3661973,40431226.7959358,"suburb",
25649,3666481,29116645.886233,"suburb",
8051,3431470,4707307.10580222,"suburb",
23097,3630543,9977422.21291729,"suburb",
24129,3645139,69355311.0537682,"suburb",
25426,3663319,29715534.4331576,"suburb",
24469,3649825,10179677.2227027,"suburb",
22524,3622315,10538628.7350684,"suburb",
24485,3650067,3826108.98210828,"suburb",
25984,3671608,19424984.6579992,"suburb",
26491,3479100,15742439.6617255,"suburb",
31705,3407000,12240845.5127166,"suburb",
11707,3445900,10353593.5542272,"suburb",
11649,3445690,7190289.96236216,"suburb",
25251,3460975,5473726.99487508,"suburb",
16576,3464650,3186405.26713078,"suburb",
23615,3638539,10514420.1308159,"suburb",
25522,3664584,12538523.3481861,"suburb",
25300,3661665,34953768.0395121,"suburb",
13917,3453850,22576810.1967489,"suburb",
16148,3462940,4936744.69989255,"suburb",
25989,3671663,20927228.2326458,"suburb",
34746,3467320,15157930.5819209,"suburb",
23188,3631896,53609634.0452684,"suburb",
24402,3649066,17830553.7644292,"suburb",
16205,3463150,80482071.510936,"suburb",
13364,3451810,9745434.17331372,"suburb",
16034,3462430,6053798.61271478,"suburb",
928,3603408,7216630.48844121,"suburb",
17539,3468460,6359740.3236284,"suburb",
25535,3664842,4555371.22535517,"suburb",
35458,3482423,8235391.36106877,"suburb",
8369,3632754,13027853.2537645,"suburb",
14670,3656660,6519533.83602568,"suburb",
6496,3425200,5045960.45846794,"suburb",
23218,3432415,15438500.0917304,"suburb",
7763,3430420,3902882.23526938,"suburb",
5164,3420020,6262739.54954849,"suburb",
33636,3444430,38866909.7907622,"suburb",
6151,3423910,24486080.6523276,"suburb",
