"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
5306,6,13291,43.016,,,18326.2,16969.3
5222,6,17887,52.5129,,48.8642,100551,198031
4402,6,4406,27.9891,,,27715.3,30392.1
3356,6,16268,13.4104,,,22275.7,87363.2
3001,6,10535,19.7947,,,35188,91135
701,6,10290,53.6819,,,5290.06,38934.1
264,6,814,26.47,,,24591,52918.7
3446,6,23454,36.1351,,,13110.8,18159
1330,6,23267,27.1285,,,8305.32,24098.6
4016,6,20634,27.2546,,,30489.1,35728.5
4197,6,1616,58.0918,,,34254.4,74631.4
2722,6,9234,80.7425,,,2981.16,22176.3
742,6,10744,54.7983,,,20959.9,61747.4
3534,6,13156,51.674,,,19113.8,50022.5
5094,6,31729,11.8265,,,642.487,16486.4
5228,6,19187,45.1646,,,14133.1,31373.8
3946,6,12783,31.4173,,,20171.4,48730.2
703,6,10297,21.7419,,,12482.7,37078.9
4994,6,24070,30.8628,,,12605,16651
3490,6,11166,73.8816,,,11487.2,19273.1
361,6,10002,15.6922,,,12990.2,52271.5
322,6,1249,25.5929,,,11238.5,75412.8
5007,6,33807,53.8367,,,17735.2,17291.6
841,6,14057,10.9013,,,3572.58,17444.4
2342,6,18386,39.3461,,,24032.6,24835.3
4192,6,1048,26.2106,,,3694.28,19677.9
14861,6,4257,54.6493,,,7228.62,19461.6
1797,6,5849,27.8029,,,13478.5,23989.8
3865,6,5413,46.2595,,45.982,81149.8,141994
1609,6,6147,18.2062,,,17814.8,29972.6
4112,6,6142,44.4811,35.7083,74.2541,83171.6,154650
4320,6,5660,23.0672,,,9746.07,19042.2
3919,6,10626,39.5195,,,19464.9,38256
750,6,10940,69.012,,66.4424,152987,462006
4165,6,30778,40.3618,29.6269,58.2636,87666.3,153647
5128,6,22651,26.4212,,,2821.34,17943.9
2299,6,15039,46.2595,,,10233.3,16276.6
4154,6,30772,63.9173,50.7896,71.9961,396143,583496
1989,6,5353,36.3708,,,36699.6,49881.8
5254,6,930,30.5764,,,30818,17047.2
3332,6,19265,25.7566,,,27271.9,60724.6
1268,6,4302,35.8381,,,45792,61096.5
4724,6,30861,41.5887,31.2687,,94754.7,99476.7
4743,6,16657,36.4854,36.3203,41.9633,648231,1326420
1780,6,4822,34.3182,,,8026.62,22059.4
1775,6,4532,22.1976,,,3958.61,20406.9
1773,6,4354,26.7812,,,1935.49,16161.4
581,6,4249,36.6976,18.2801,,57373.2,151868
2767,6,25204,19.5719,,,15352.1,21414.9
14870,6,25144,30.3184,,,3683.45,20281.4
4111,6,4092,47.5365,26.1058,,28574.5,53476
1770,6,4041,29.9591,,,9595.72,25193.9
4655,6,11171,29.7754,,,59514.2,80265.5
388,6,16270,26.4647,,,5385.21,25251.6
15279,6,15735,12.4489,,,3413.69,45260.7
3552,6,24808,57.7937,,,12972.7,32126
14769,6,14096,42.2115,,,26018,19507.5
4245,6,15502,78.3241,66.791,67.5371,666483,1524270
3628,6,30677,49.8412,,,17555.6,26968.9
3949,6,14305,44.8073,,,9905.55,16773.3
2987,6,9413,23.843,,,49833.1,43106.3
4079,6,13526,28.4375,,,44441.1,110982
5298,6,13085,37.64,,,4647.4,17432.9
2952,6,16057,29.1279,,,21783.4,24122.5
15248,6,25608,17.6813,,,6306.11,52260
1620,6,8993,33.0106,,,14164.9,23155.4
564,6,3494,41.3786,35.5079,45.7685,57862.2,243773
267,6,3459,23.9197,,,2559.44,16879.3
2055,6,603,29.1528,,,21441.4,45118.5
2471,6,24708,39.6634,,,4741.66,31303.2
1760,6,2941,26.1239,,,7257.51,36492.4
2079,6,9788,43.2092,,77.1858,54630.3,67573.6
1716,6,16610,21.5439,,,9589.34,27122.1
3077,6,2317,48.5232,,,27445.4,36742
1985,6,4184,27.1276,,,14420.3,27138.4
3861,6,4145,58.9096,47.1039,50.8038,275649,396598
2970,6,4058,29.2439,,53.2544,76301.8,108429
3536,6,24573,42.8501,,,3196.48,17580
5236,6,4048,37.6618,,,21082.7,16372.4
4397,6,3918,17.1575,,,38354,131913
1978,6,2173,20.2307,,,8673.13,20924.5
3860,6,3879,50.2251,43.1801,37.0069,211266,296565
1074,6,2025,57.8965,48.2869,86.153,77825.1,96697.5
1594,6,30756,48.3509,44.2711,49.8912,392388,419590
3021,6,24763,14.7761,,,5441.46,36182.1
2931,6,8621,23.4499,,,4133.73,26108
4476,6,1436,33.1983,,,4232.55,24196
769,6,11767,38.7726,,,19919.8,35574.6
3564,6,30483,53.7564,,,14371.3,19734.8
14293,6,25736,23.4244,,,10644,26315.2
4389,6,2149,4.19746,,,34209,37213
424,6,5434,29.2509,,,11905.6,18789.9
3320,6,18609,16.6372,,,9206.82,17973.2
5330,6,16237,9.64051,,,11307.4,20328.9
2460,6,11706,52.1097,,,13096.3,24818.8
2248,6,1336,40.0299,,47.0455,161689,228866
1571,6,19373,40.8962,,,74094.9,100121
3515,6,24323,45.1983,,,3453.21,19408.7
1767,6,3648,48.2495,,,12971.5,30061.4
3158,6,25785,42.2086,36.9889,,50471.7,177620
2888,6,35715,31.2225,,,45743.7,65296
4722,6,35689,33.7105,,,21983,53732.9
13912,6,24170,40.7226,,,10533.4,23439.5
1012,6,19798,31.6163,,39.6036,58088.4,126659
1583,6,19748,17.3722,,,3338.43,33013.4
1579,6,19740,26.3528,,,22420.4,34906.8
260,6,189,9.48267,,,9714.78,29942.6
2795,6,21108,60.5706,39.7926,,8667.7,19317
3360,6,18007,38.9584,,,49117.1,67943.7
4774,6,18102,23.4541,,,56596.7,79977.4
2790,6,20828,41.3602,,,10249,17553.8
3685,6,4909,28.4129,27.295,39.2042,141767,225060
15179,6,29926,28.4695,,,27053.2,36534.8
