 place_id , median_sale_price , median_sale_price_per_sqft , total_sales 
1749,174900,145.7253886,11
1754,116960,68.18181818,10
1755,121000,88.28828829,12
1756,75000,70,11
1772,249900,142.6136364,11
1794,77000,67.34434562,9
1796,67500,63.73937677,6
1815,212000,144.4591029,5
1826,445000,364.6833013,86
1829,147500,134.037368,12
1850,51000,42.40107914,18
1855,165000,105.8352403,8
1864,399900,233.9967725,13
1885,120000,112.8880527,5
1886,165000,121.1771495,5
1897,110000,82.48730964,6
1901,360000,286.0411899,8
1902,132000,111.1111111,6
1903,271000,195.1438849,131
1906,149000,118.694362,41
1928,80500,54.90438001,7
1933,122000,85.3432282,10
1942,120000,99.36594203,18
1953,152000,109.0661213,10
1954,69900,50.31027027,43
1955,290000,185.540627,145
1962,160000,142.8571429,18
1963,160000,99.75062344,5
1973,45500,44.3902439,26
1982,162500,149.7005988,15
1991,193500,140.6633907,16
1993,195000,143.6005831,146
2001,96000,86.57407407,18
2006,153000,102.6315789,7
2014,250000,148.4018265,7
2025,650000,487.2521246,21
2028,90000,80.35714286,5
2034,180000,132.6623971,285
2039,89900,64.67625899,11
2047,198911,138.1810193,234
2050,155500,100.6516588,32
2052,193000,137.5,618
2054,160000,93.96355353,10
2058,158000,118.7077385,27
2063,157000,110.252809,7
2086,179000,139.0224359,12
2099,516856,379.1666667,15
2107,149000,123.3443709,5
2112,433000,307.2196621,85
2114,40000,26.72467371,13
2119,250000,180.8566896,5
2138,108000,90.55555556,9
2139,148000,109.5,6
2141,219000,171.9457014,18
2149,200000,152.8716216,5
2154,82000,74.54545455,11
2169,101500,84.38061041,5
2173,104000,83.97683398,21
2182,148000,133.3333333,11
2184,170000,130.3353659,22
2188,120000,89.24302789,18
2189,114000,93.5192781,11
2226,205000,147.1428571,6
2231,193000,176.1858664,33
2248,380000,257.1499449,12
2251,219000,172.0779221,41
2259,116000,89.28571429,8
2276,137000,121.5277778,5
2277,274000,176.4705882,5
2280,410000,347.4264706,22
2282,192579,117.8940568,11
2290,53500,47.39336493,9
2291,310000,250,43
2305,55000,42.83489097,7
2313,77000,56.20437956,12
2314,150000,146.484375,11
2320,695000,535.7142857,105
2331,70000,62.6118068,7
2332,212500,167.7190213,51
2343,93500,72.4248927,5
2344,89500,78.03819444,31
2346,142500,120.4564666,9
2347,82250,68.46473029,11
2350,1385000,1136.129032,20
2354,55000,39.28571429,6
2364,164000,131.4516129,24
2371,237500,165.7317695,14
2382,59900,41.66666667,6
2390,106000,75.53707554,5
2394,835000,701.1605416,7
2402,120000,97.5975976,5
2411,70000,57.20338983,26
2420,148000,119.3686007,28
2443,69900,65.02890173,6
2446,239000,160.6145251,26
2465,95000,62.74768824,10
2470,25000,14.88095238,6
2475,64900,52.90102389,6
2477,61000,52.91005291,18
2479,112000,80.35288641,6
2485,148000,102.5641026,37
