"place_id","city","state_code","is_suburb","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
2116,"Cedar Bluffs","NE","suburb","Omaha, NE","Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",0,0,5,5,0,84
5001,"East Orange","NJ","suburb","Newark, NJ","Newark, NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",0,0,2.45,5,0,4662
10834,"Maitland","FL","suburb","Orlando, FL","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",1,0.5,9,10,0.501246882793017,1203
23703,"Kings Park","NY","suburb","Long Island, NY","Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ-PA",2,1,9.5,10,1,967
14767,"Pelham Manor","NY","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",2,1,9.5,10,1,581
680,"Arlington","WA","suburb","Seattle, WA","Seattle-Bellevue-Everett, WA","Seattle-Tacoma-Bellevue, WA",0,0,6,8,0,3368
17190,"Spokane","WA","suburb","Spokane, WA","Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",0,0,6,6,0,347
707,"Ashville","OH","suburb","Columbus, OH","Columbus, OH","Columbus, OH",0,0,8,8,0,708
4758,"Dayton","PA","suburb","Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",0,0,8,8,0,267
30798,"Cedar Hill","TX","suburb","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",0,0,3.67,6,0,2838
4050,"Churchville","NY","suburb","Rochester, NY","Rochester, NY","Rochester, NY",0,0,6.5,7,0,849
29470,"Chicago","IL","principal_city","Chicago, IL","Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Elgin, IL-IN-WI",56,0.130536130536131,4.85,10,0.136802992133034,245711
442,"Archie","MO","suburb","Kansas City, MO","Kansas City, MO-KS","Kansas City, MO-KS",1,1,9,9,1,283
3344,"Clearwater","FL","suburb","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",0,0,4.18,8,0,7481
22000,"Cheshire","CT","suburb","New Haven, CT","New Haven-Milford, CT","New Haven-Milford, CT",0,0,8,8,0,1089
20999,"Xenia","OH","suburb","Dayton, OH","Dayton, OH","Dayton, OH",0,0,5,7,0,1965
598,"Alvord","TX","suburb","Fort Worth, TX","Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",1,1,9,9,1,327
18314,"Saukville","WI","suburb","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",0,0,8,8,0,285
12936,"Montevallo","AL","suburb","Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0,6,6,0,728
7490,"Glendale","WI","suburb","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",0,0,6,6,0,1030
2182,"Broadview","IL","suburb","Chicago, IL","Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,3,4,0,769
33811,"Milton","NH","suburb","Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",0,0,1,1,0,268
2371,"Boerne","TX","suburb","San Antonio, TX","San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",3,0.6,9,10,0.536989795918367,3136
22912,"Fallston","MD","suburb","Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",1,1,10,10,1,961
10004,"Lantana","FL","suburb","West Palm Beach, FL","West Palm Beach-Boca Raton-Delray Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",0,0,3,3,0,492
29439,"Bothell","WA","suburb","Seattle, WA","Seattle-Bellevue-Everett, WA","Seattle-Tacoma-Bellevue, WA",8,0.666666666666667,8.58,10,0.669306673591275,7702
16694,"Stoneville","NC","suburb","Greensboro, NC","Greensboro-High Point, NC","Greensboro-High Point, NC",0,0,4,4,0,430
4476,"Deltona","FL","principal_city","Deltona, FL","Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",0,0,4.5,7,0,5043
12798,"Martensdale","IA","suburb","Des Moines, IA","Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",0,0,6,6,0,307
15272,"Providence","RI","principal_city","Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0,2.1,6,0,10504
12040,"Locust Grove","GA","suburb","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",0,0,6.2,8,0,3324
23368,"Guilford","CT","suburb","New Haven, CT","New Haven-Milford, CT","New Haven-Milford, CT",1,1,10,10,1,327
8694,"Grand Rapids","MI","principal_city","Grand Rapids, MI","Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",7,0.175,5.73,10,0.212807166202639,16522
4400,"DeLand","FL","suburb","Deltona, FL","Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",0,0,5.33,8,0,3854
19007,"Waterloo","SC","suburb","Greenville, SC","Greenville-Anderson-Mauldin, SC","Greenville-Anderson-Mauldin, SC",0,0,7,7,0,315
26159,"Turnersville","NJ","suburb","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,2,2,0,526
3488,"Cedarburg","WI","suburb","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",3,1,10,10,1,1180
30862,"Rowlett","TX","suburb","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",2,0.222222222222222,6.11,10,0.232953484027648,5353
10807,"Lawrenceburg","IN","suburb","Cincinnati, OH","Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",0,0,6,6,0,888
18198,"South Roxana","IL","suburb","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",0,0,5,5,0,496
25185,"Plainfield","CT","suburb","Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0,4,4,0,407
20569,"West Jordan","UT","suburb","Salt Lake City, UT","Salt Lake City, UT","Salt Lake City, UT",0,0,3.56,5,0,11537
13601,"Nazareth","PA","suburb","Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",0,0,6.6,8,0,2847
13533,"Norwalk","CA","suburb","Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0,5.13,7,0,7429
17710,"Sellersville","PA","suburb","Montgomery County, PA","Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,0.333333333333333,8.33,9,0.31630510846746,1429
4348,"Deal","NJ","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,2,2,0,155
7995,"Gresham","OR","suburb","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",0,0,4.33,8,0,5801
21048,"Zelienople","PA","suburb","Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",1,1,9,9,1,755
14437,"Pembroke Pines","FL","suburb","Fort Lauderdale, FL","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2,0.2,6,10,0.204241071428571,6272
492,"Allen","TX","suburb","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",15,0.882352941176471,9.29,10,0.878970275025465,10799
2583,"Butler","MO","suburb","Kansas City, MO","Kansas City, MO-KS","Kansas City, MO-KS",0,0,4,4,0,608
30844,"Frisco","TX","suburb","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",19,0.76,8.92,10,0.761080164688787,16516
14788,"New Baltimore","MI","suburb","Warren, MI","Warren-Troy-Farmington Hills, MI","Detroit-Warren-Dearborn, MI",2,0.2,7.1,9,0.21047455126629,4067
19972,"Westbury","NY","suburb","Long Island, NY","Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ-PA",0,0,4.67,8,0,1861
21254,"Arlington","NY","suburb","Dutchess County, NY","Dutchess County-Putnam County, NY","New York-Newark-Jersey City, NY-NJ-PA",0,0,4,4,0,428
849,"Aviston","IL","suburb","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",1,1,9,9,1,391
14828,"Saint Louis Park","MN","suburb","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",0,0,5.33,6,0,1653
1469,"Belle Plaine","KS","suburb","Wichita, KS","Wichita, KS","Wichita, KS",0,0,4,4,0,266
10239,"Maple Grove","MN","suburb","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",1,0.125,6.13,9,0.165803973952246,5989
23415,"Horsham","PA","suburb","Montgomery County, PA","Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,1,9,9,1,941
20106,"Westchester","IL","suburb","Chicago, IL","Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,5,5,0,379
18185,"Slippery Rock","PA","suburb","Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",0,0,7,7,0,456
6529,"Farrell","PA","suburb","Youngstown, OH","Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",0,0,2,2,0,436
23232,"Glen Burnie","MD","suburb","Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",0,0,5.86,8,0,6997
446,"Archdale","NC","suburb","Greensboro, NC","Greensboro-High Point, NC","Greensboro-High Point, NC",1,0.5,7,9,0.477591036414566,714
14949,"Phoenix","NY","suburb","Syracuse, NY","Syracuse, NY","Syracuse, NY",0,0,5,5,0,696
21302,"Averill Park","NY","suburb","Albany, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,0,8,8,0,395
8219,"Granger","IA","suburb","Des Moines, IA","Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",0,0,8,8,0,469
1265,"Beaver Falls","PA","suburb","Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",0,0,5,7,0,1108
23539,"Julian","CA","suburb","San Diego, CA","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",0,0,5,5,0,200
20133,"Vernon","UT","suburb","Salt Lake City, UT","Salt Lake City, UT","Salt Lake City, UT",0,0,3,3,0,21
1533,"Big Lake","MN","suburb","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",0,0,4,4,0,3178
8270,"Harrison","NY","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",2,0.5,8.25,9,0.508708708708709,1665
9801,"Holland","MI","suburb","Grand Rapids, MI","Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",1,0.0909090909090909,6.45,10,0.0773533950617284,5184
22363,"Voorhees Township","NJ","suburb","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,8,8,0,657
9905,"Kirkwood","MO","suburb","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",4,1,10,10,1,2008
16347,"Poquoson","VA","suburb","Hampton Roads, VA","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",1,1,9,9,1,468
21003,"Windsor","VA","suburb","Hampton Roads, VA","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",0,0,6,6,0,647
6898,"Hanover","MN","suburb","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",1,1,9,9,1,433
24390,"Nokomis","FL","suburb","North Port, FL","North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",1,1,10,10,1,1023
1217,"Aubrey","TX","suburb","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",2,0.4,7.6,10,0.367320681891283,3109
20509,"Victorville","CA","suburb","Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0,3.11,8,0,14457
