"district_nces_code","median_sale_price","median_sale_price_per_sqft","total_sales"
"0400001",377000,225.7799671592775041,74
"0400450",240000,151.0516252390057361,195
"0400600",115000,98.5533453887884268,30
"0400680",206000,141.4276184122748499,256
"0400790",175500,124.3622448979591837,176
"0400960",160000,109.0399002493765586,18
"0401050",195000,122.043010752688172,6
"0401380",177000,119.7691197691197691,91
"0401410",180000,120.2986725663716814,144
"0401680",102000,79.6019900497512438,26
"0401710",155000,110.0733822548365577,118
"0401740",154900,109.271523178807947,183
"0401760",289000,172.2140762463343109,31
"0401870",200000,143.5826408125577101,487
"0402250",164000,106.9986541049798116,273
"0402320",65000,54.4388609715242881,13
"0402430",155000,130.6058221872541306,56
"0402690",198000,135.2181929932390904,611
"0402920",179000,122.3026792179580014,141
"0403010",120000,92.2208281053952321,15
"0403040",305845,183.9016210173281163,59
"0403400",202000,144.1844459738472127,139
"0403420",130000,99.2063492063492063,38
"0403450",139000,112.6126126126126126,156
"0403780",235000,163.9815880322209436,127
"0403990",255000,163.5027556644213105,43
"0404230",192000,149.3688639551192146,145
"0404290",146000,107.7414205905826018,14
"0404320",196000,124.0024554941682014,50
"0404380",247500,158.8170865279299014,163
"0404500",225000,177.4475524475524476,46
"0404630",175500,127.9863481228668942,153
"0404720",185000,112.826603325415677,74
"0404770",27500,23.484201537147737,5
"0404970",159000,117.0568561872909699,686
"0405640",230000,135.9375,95
"0405670",220000,166.9230769230769231,55
"0405930",180000,147.5655430711610487,169
"0406210",123000,91.0973084886128364,42
"0406250",215000,140.5882352941176471,423
"0406300",236000,193.6483346243222308,86
"0406330",165000,135.4784081287044877,373
"0406810",194000,143.4210526315789474,7
"0406900",113028,86.015625,8
"0407020",65000,61.553030303030303,5
"0407080",125000,109.2896174863387978,40
"0407300",125365,94.6428571428571429,46
"0407530",113028,86.015625,8
"0407570",299000,204.3199065966141273,142
"0407750",176500,136.3073110285006196,168
"0408170",79000,66.2853297442799462,31
"0408230",30000,25.8620689655172414,7
"0408310",173000,148.6842105263157895,37
"0408340",191000,154.8269581056466302,112
"0408490",91500,89.0077821011673152,11
"0408520",123500,96.6183574879227053,63
"0408550",144900,99.1108071135430917,63
"0408800",139000,113.0806845965770171,375
"0408820",108000,86.8865647626709574,5
"0408850",187900,125.3426966292134831,73
"0409060",149750,118.2001343183344527,118
"0409190",207000,139.3168117883456129,135
"0500015",75000,44.9660633484162896,8
"0500021",45000,34.0831629175187457,19
"0500026",72000,41.6367552045944006,7
"0500073",95000,49.8949579831932773,6
"0502880",72500,55.2816901408450704,13
"0502960",68500,58.8929219600725953,30
"0503690",85000,69.3452380952380952,16
"0503750",124000,97.8576893649579189,13
"0504410",65000,56,10
"0504590",102000,77.0605759682224429,22
"0506420",102000,72.1292556260819388,31
"0506900",83100,74.3243243243243243,9
"0507560",116000,90.9090909090909091,28
"0507770",47000,38.1642512077294686,61
"0507890",51550,47.9534883720930233,50
"0507920",78000,63.2668711656441718,57
"0508610",191000,132.1138211382113821,8
"0508670",103000,74.063231850117096,11
"0509000",136900,105.3054662379421222,209
"0509060",30000,24.6710526315789474,7
"0509240",29500,26.3864042933810376,24
"0509480",132500,95.0704225352112676,6
"0509540",115000,65.0337837837837838,5
"0509750",55000,44.6428571428571429,22
"0510200",80000,75.1879699248120301,10
"0510680",91500,71.4966634890371783,43
"0511850",102500,84.9579015544041451,45
"0512210",79000,57.7485380116959064,23
"0512420",41500,33.6850649350649351,29
"0513530",97250,80,6
"0514040",101000,84.657190635451505,11
"0514140",37000,32.5059101654846336,6
"0600001",375000,321.3465952563121653,8
"0600006",820000,647.3829201101928375,33
"0600013",299000,217.5925925925925926,57
"0600014",155000,122.312824314306894,32
"0600015",75000,56.6371681415929204,5
"0600016",328000,269.4610778443113772,29
"0600017",162000,116.8952618453865337,88
"0600020",710000,591.4585012087026591,32
"0600025",1500000,1105.7692307692307692,27
"0600026",160000,130.3939962476547842,54
"0600027",200000,161.4114114114114114,50
"0600028",315000,209.1402013942680093,27
"0600029",305000,208.0062794348508634,66
"0600032",872000,846.6135458167330677,16
"0600033",99000,84.9644128113879004,8
"0600034",435000,341.5841584158415842,17
"0600036",249000,187.8216123499142367,70
"0600042",275000,239.9553571428571429,12
"0600043",600000,508.1602373887240356,13
"0600044",550000,441.4191419141914191,35
"0600045",185000,148.6013986013986014,9
"0600047",300000,249.375,32
"0600048",272500,245.4954954954954955,69
"0600049",445000,350,39
"0600060",205000,123.48922753547031,5
"0600062",200000,166.3498098859315589,25
"0600063",69775,58.3403010033444816,5
"0600069",329000,234.9869451697127937,16
"0600116",160000,137.4045801526717557,17
"0600153",515000,423.4028294862248697,63
"0600158",185000,161.8255395683453237,48
"0601332",185000,155.4702495201535509,151
"0601410",343942,255.3392724573125464,10
"0601414",870000,637.6569037656903766,127
"0601415",94900,75.9807846277021617,10
"0601620",425000,346.0912052117263844,13
"0601650",725000,514.0364188163884674,37
"0601710",128000,120.2783300198807157,14
"0601770",740000,602.8368794326241135,63
"0601860",830000,717.7033492822966507,28
"0601950",155000,135.3790613718411552,10
"0602160",355000,307.8924544666088465,6
"0602310",565000,499.375,22
