nces_code,name,city,state_code,is_suburb,district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,school_quality,great_schools_rating,number_of_students,median_sale_price,median_sale_price_per_sqft,total_sales
320006000379,Walter Jacobson Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,576,164000,124.5836109260493,16
320006000381,Cynthia Cunningham Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,4,789,185000,138.53503184713375,26
320006000382,David M Cox Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,621,195000,148.04469273743015,14
320006000383,Harriet Treem Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,4,799,150000,113.1100082712986,20
320006000397,Helen Herr Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,622,130000,105.0925925925926,12
320006000398,Helen Jydstrup Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,612,158000,124.70402525651144,14
320006000399,Martha P King Elementary School,Boulder City,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,444,232500,152.47895229186156,19
320006000400,Ernest J. May Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,630,171500,127.99227799227799,24
320006000401,Richard J Rundle Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,699,130000,112.2792937399679,9
320006000417,Lucile Bruner Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,733,148700,115.26576019777504,6
320006000434,Richard H Bryan Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,544,169900,133.8209982788296,5
320006000435,Elizabeth Wilhelm Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,539,149927,98.98989898989899,12
320006000436,Aggie Roberts Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,785,179900,144.70677837014472,16
320006000437,Dean Lamar Allen Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,548,182000,137.32112192329708,16
320006000438,Eva Wolfe Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,629,142000,118.19484240687679,12
320006000439,Dan Goldfarb Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,746,117000,100.52447552447552,11
320006000440,John Vanderburg Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,795,226900,174.7141041931385,135
320006000442,Roger M Bryan Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,603,175000,135.74660633484163,11
320006000454,John W Bonner Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,762,222000,168.8212927756654,18
320006000455,Roberta C Cartwright Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,731,180000,156.91263782866835,21
320006000457,Betsey A Rhodes Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,656,165000,121.61223071577484,15
